18:17:23 [INFO] -> Initialisation en cours .. 
 Taille : 1278x664
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:25 [INFO] -> hi
18:17:26 [INFO] -> hi
18:17:26 [INFO] -> hi
18:17:26 [INFO] -> hi
18:17:26 [INFO] -> hi
18:17:26 [INFO] -> hi
